address,lat,lon,building_material,build_year,floor,total_floors,rooms,area_total,usd_price,is_old,condition_unfinished,series_group
"Бишкек, Московская - Уметалиева, Московская, 191",42.8711,74.5823,кирпичный,2017.0,10.0,12.0,3,113.8,157000,0,0,mid
"Бишкек, с. Кок-Джар, с.Кок-Жар, ул.Конкур Осмона 6/1",42.8131,74.6482,монолитный,2023.0,10.0,12.0,2,66.0,96500,0,0,low
"Бишкек, 12 м-н, 12-й микрорайон, 69",42.8129,74.639,кирпичный,1990.0,7.0,9.0,3,68.0,108500,1,0,high
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8171,74.6059,монолитный,2022.0,6.0,14.0,4,135.0,260000,0,0,low
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8467,74.5656,монолитный,2023.0,6.0,14.0,2,67.0,103000,0,0,low
"Бишкек, Московская - Белинка",42.8658,74.5903,кирпичный,1970.0,3.0,3.0,1,34.0,54000,1,1,high
"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",42.85,74.6347,монолитный,2021.0,9.0,13.0,3,85.0,130000,0,0,low
"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",42.8626,74.5883,монолитный,2019.0,10.0,12.0,2,70.0,115000,0,0,low
"Бишкек, АЮ Grand, мкр. Тунгуч",42.8548,74.6766,монолитный,2023.0,2.0,13.0,2,48.0,58000,0,1,low
"Бишкек, АЮ Grand, Анкара/Ауэзова",42.8569,74.6895,панельный,1992.0,4.0,9.0,2,67.0,57000,1,1,low
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,монолитный,2024.0,1.0,14.0,2,67.0,96500,0,0,low
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,монолитный,2024.0,12.0,14.0,1,42.0,50000,0,1,low
"Бишкек, Чуй - Алматинка,  ул. Буденного 12",42.8763,74.6409,монолитный,2025.0,12.0,14.0,2,66.73,73403,0,1,low
"Бишкек, Кок-Жар м-н, 7Апреля 2/19",42.8461,74.6335,панельный,2013.0,8.0,9.0,1,45.0,60000,0,0,low
"Бишкек, Горького - Панфилова, Фатьянова 5/Л. Толстого",42.8615,74.6051,кирпичный,1968.0,5.0,5.0,3,74.0,100000,1,0,mid
"Бишкек, ТЭЦ, Хивинская",42.8765,74.6561,монолитный,2025.0,1.0,3.0,1,30.0,38000,0,1,mid
