address,lat,lon,offer_type,series,building_material,build_year,floor,total_floors,rooms,area_total,area_living,condition,usd_price
"Бишкек, Московская - Уметалиева, Московская, 191",42.8711,74.5823,от агента,индивид. планировка,кирпичный,2017.0,10.0,12.0,3,113.8,62.9,,157000
"Бишкек, с. Кок-Джар, с.Кок-Жар, ул.Конкур Осмона 6/1",42.8131,74.6482,от агента,элитка,монолитный,2023.0,10.0,12.0,2,66.0,,евроремонт,96500
"Бишкек, 12 м-н, 12-й микрорайон, 69",42.8129,74.639,от агента,106 серия,кирпичный,1990.0,7.0,9.0,3,68.0,40.0,,108500
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8171,74.6059,от агента,элитка,монолитный,2022.0,6.0,14.0,4,135.0,,евроремонт,260000
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8467,74.5656,от агента,элитка,монолитный,2023.0,6.0,14.0,2,67.0,,евроремонт,103000
"Бишкек, Московская - Белинка",42.8658,74.5903,от агента,хрущевка,кирпичный,1970.0,3.0,3.0,1,34.0,,под самоотделку (псо),54000
"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",42.85,74.6347,от собственника,элитка,монолитный,2021.0,9.0,13.0,3,85.0,,евроремонт,130000
"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",42.8626,74.5883,от агента,элитка,монолитный,2019.0,10.0,12.0,2,70.0,,евроремонт,115000
"Бишкек, АЮ Grand, мкр. Тунгуч",42.8548,74.6766,от агента,элитка,монолитный,2023.0,2.0,13.0,2,48.0,,под самоотделку (псо),58000
"Бишкек, АЮ Grand, Анкара/Ауэзова",42.8569,74.6895,от агента,106 серия улучшенная,панельный,,4.0,9.0,2,67.0,,под самоотделку (псо),57000
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,1.0,14.0,2,67.0,,евроремонт,96500
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от агента,элитка,монолитный,2024.0,12.0,14.0,1,42.0,,под самоотделку (псо),50000
"Бишкек, Чуй - Алматинка,  ул. Буденного 12",42.8763,74.6409,от собственника,элитка,монолитный,2025.0,12.0,14.0,2,66.73,,под самоотделку (псо),73403
"Бишкек, Кок-Жар м-н, 7Апреля 2/19",42.8461,74.6335,от собственника,106 серия улучшенная,панельный,2013.0,8.0,9.0,1,45.0,,хорошее,60000
"Бишкек, Горького - Панфилова, Фатьянова 5/Л. Толстого",42.8615,74.6051,от собственника,индивид. планировка,кирпичный,1968.0,5.0,5.0,3,74.0,,хорошее,100000
"Бишкек, ТЭЦ, Хивинская",42.8765,74.6561,от собственника,индивид. планировка,монолитный,2025.0,1.0,3.0,1,30.0,18.0,под самоотделку (псо),38000
"Бишкек, Бишкек-Парк",42.8751,74.5894,от агента,104 серия,панельный,,1.0,4.0,2,52.0,,среднее,102000
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,4.0,12.0,2,66.0,,евроремонт,101000
"Бишкек, Магистраль, Байтик Баатыра, 4Б",42.8181,74.605,от агента,индивид. планировка,монолитный,2023.0,6.0,12.0,2,77.46,38.67,,98000
"Бишкек, Ипподром, Л. Толстого 126",42.8641,74.558,от агента,элитка,монолитный,2025.0,8.0,17.0,2,76.0,,под самоотделку (псо),74000
"Бишкек, Джал-23 м-н (Нижний Джал), Джал-23 мкр, 18",42.8412,74.5664,от агента,индивид. планировка,кирпичный,2025.0,3.0,14.0,1,41.0,18.0,,65500
"Бишкек, Молодая Гвардия, 35",42.8824,74.5767,от агента,индивид. планировка,панельный,,3.0,9.0,1,35.0,,хорошее,59000
"Бишкек, Магистраль,  ул. Малдыбаева, 261",42.8231,74.5965,от агента,элитка,монолитный,2025.0,4.0,15.0,2,78.0,,под самоотделку (псо),78000
"Бишкек, Магистраль",42.8181,74.6031,от агента,элитка,монолитный,,10.0,12.0,2,82.1,,под самоотделку (псо),90310
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот) 4б/7/Магистраль",42.8177,74.6056,от агента,элитка,монолитный,2022.0,3.0,14.0,3,80.0,,евроремонт,163000
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,от агента,элитка,монолитный,2023.0,3.0,14.0,2,72.3,,под самоотделку (псо),99500
"Бишкек, Средний Джал м-н",42.8377,74.5673,от агента,108 серия,кирпичный,,4.0,9.0,1,52.0,,евроремонт,76500
"Бишкек, АЮ Grand, Исакеева 18/18",42.8587,74.6813,от агента,элитка,монолитный,2019.0,9.0,9.0,2,70.0,,евроремонт,88000
"Бишкек, АУЦА, С. Ортосай/Балык Кумара",42.8072,74.6115,от агента,элитка,кирпичный,2025.0,4.0,4.0,4,115.0,,под самоотделку (псо),195500
"Бишкек, Старый аэропорт, пр. Чингиза Айтматова 96/1",42.8386,74.5827,от агента,элитка,монолитный,2018.0,6.0,10.0,4,173.0,115.0,евроремонт,495000
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8191,74.6129,от агента,элитка,монолитный,2024.0,12.0,18.0,4,156.0,,под самоотделку (псо),249600
"Бишкек, Нижний Токольдош, Кийизбаева 33",42.8705,74.6294,от агента,элитка,монолитный,2022.0,11.0,12.0,2,73.5,73.5,евроремонт,104500
"Бишкек, Аламединский рынок",42.8873,74.6413,от агента,элитка,монолитный,,2.0,5.0,1,46.6,,под самоотделку (псо),48000
"Бишкек, АУЦА",42.8072,74.6164,от агента,элитка,монолитный,2025.0,13.0,14.0,4,154.0,,под самоотделку (псо),169500
